PROJECT: HOUSE | STATUS: PLANNED | MATERIAL: HIGH
PROJECT: BUILDING | STATUS: IN_PROGRESS | MATERIAL: MEDIUM
PROJECT: CABIN | STATUS: COMPLETED | MATERIAL: LOW
PROJECT: WAREHOUSE | STATUS: PLANNED | MATERIAL: HIGH
PROJECT: HOUSE | STATUS: COMPLETED | MATERIAL: MEDIUM
PROJECT: BUILDING | STATUS: IN_PROGRESS | MATERIAL: HIGH
PROJECT: CABIN | STATUS: PLANNED | MATERIAL: LOW
PROJECT: WAREHOUSE | STATUS: COMPLETED | MATERIAL: MEDIUM
PROJECT: HOUSE | STATUS: IN_PROGRESS | MATERIAL: HIGH
PROJECT: BUILDING | STATUS: COMPLETED | MATERIAL: LOW
PROJECT: HOUSE | STATUS: PLANNED | MATERIAL: LOW
